split,class_id,class_name,precision,recall,mAP50,mAP50-95,f1
val,0,beef,0.5918,0.35,0.3588,0.2584,0.4399
val,1,chicken,0.316,0.125,0.1383,0.0896,0.1791
val,2,egg,0.4579,0.7857,0.6711,0.6081,0.5786
val,3,fish,0.741,0.4615,0.4865,0.1928,0.5688
val,4,fruit,0.8497,0.8333,0.8558,0.7295,0.8414
val,5,noodles,0.5727,0.6667,0.6027,0.4399,0.6161
val,6,pork,0.5488,0.2264,0.304,0.2332,0.3206
val,7,rice,0.7756,0.768,0.8036,0.7234,0.7718
val,8,sambal,1.0,0.4285,0.7325,0.6835,0.5999
val,9,shrimp,0.6454,0.0898,0.1966,0.1457,0.1576
val,10,squid,0.376,0.0661,0.147,0.0952,0.1125
val,11,tempeh,0.5497,0.4062,0.4788,0.4056,0.4672
val,12,tofu,0.6744,0.3929,0.5149,0.4086,0.4965
val,13,vegetable,0.4895,0.2831,0.2996,0.2162,0.3587
test,0,beef,0.2547,0.3529,0.2596,0.2309,0.2959
test,1,chicken,0.2067,0.2368,0.1583,0.1266,0.2208
test,2,egg,0.4622,0.5278,0.473,0.3755,0.4928
test,3,fish,0.6596,0.4545,0.6189,0.5663,0.5382
test,4,fruit,0.6212,0.6068,0.6068,0.4827,0.6139
test,5,noodles,0.4778,0.5833,0.5503,0.2844,0.5253
test,6,pork,0.6708,0.2085,0.286,0.1875,0.3181
test,7,rice,0.7334,0.55,0.5693,0.4718,0.6286
test,8,sambal,0.8721,0.0741,0.0925,0.0858,0.1366
test,9,shrimp,0.4272,0.4975,0.4878,0.3328,0.4597
test,10,squid,0.4873,0.1667,0.1731,0.1373,0.2484
test,11,tempeh,0.3067,0.1579,0.218,0.133,0.2085
test,12,tofu,0.4893,0.07,0.0986,0.0925,0.1225
test,13,vegetable,0.4337,0.2658,0.2548,0.1748,0.3296
